"COMINSTR","COMPRESOR INSTRUMENTACIÓN"
"PTOMUEST","PUNTO DE MUESTREO"
"FIL.PART","FILTRO DE PARTICULAS"
"PARARRAY","PARARRAYOS"
"FRENOGEN","FRENO GENERADOR"
"MOTOBOMB","MOTOBOMBA"
"TUBCONCRETO","TUBERIA CONCRETO"
"BOMBA","BOMBA"
"CONCENTRADOR","CONCENTRADOR DE DATOS"
"PROTECT","PROTECTOR DE RED SECUNDARIA PARRILLA"
"CON.NEUM","CONTROL NEUMATICO"
"EDCONTRO","DESCOMPRESORA EQUIPO RTU O PLC"
"RADIO","RADIO"
"POLIETIL","TUBERIA DE POLIETILENO"
"CANGREJO","CANGREJO"
"GATEWAY","CONVERSOR DE PROTOCOLOS"
"EDFILTRA","DESCOMPRESORA FILTRO"
"GEDIESEL","GRUPO ELECTROGENO PLANTA DE MERGENCIA"
"CORTO","CORTOCIRCUITO INTERNO DE LA LUMINARIA"
"CAMARA","CAMARA SUBTERRANEA CON TAPA MACIZA"
"TUBHD","TUBERIA HIERRO DUCTIL"
"TUBPEMD","TUBERIA DE PE DE MED. DENSIDAD"
"ALIVCANUFOND","ALIVIADERO CANUELA DE FONDO"
"PEDESTAL","PEDESTAL DE MONITOREO"
"TRAFOCORR","TRANSFORMADOR DE CORRIENTE"
"POLICA(PLC)","POWER LINE CARRIER (PLC)"
"RODETE","RODETE"
"TRANSCEIVER","TRANCIVER DE FIBRA/ELECTRICO"
"TABLEROPOTENCIA","TABLERO DE POTENCIA"
"INTERCAMBIADOR","INTERCAMBIADOR DE CALOR"
"ENSUC","DIFUSOR/REFRACTOR SUCIO"
"DIFDET","DIFUSOR/REFRACTOR DETERIORADO (AMARILLAMIENTO)"
"BOMENV","BOMBILLA DESGASTADA"
"FLLSOC","SOCKET QUEBRADO O DEFECTUOSO"
"LUZFOT","FUENTE DE LUZ  INCIDIENDO SOBRE LA FOTOCELDA"
"SENSSUC","SENSOR FOTOCELDA SUCIO"
"BALSUEL","FIJACION INADECUADA DEL BALASTO"
"HURTOPT","HURTO PT"
"MONTACARGAS","MONTACARGAS"
"GRUA_TEL_ART","GRUA TELESCOPICA ARTICULADA SOBRE CAMION"
"COSECHADORA","PLANCHON COSECHADORA DE MALEZA"
"DOBLEPROPOSITO","DOBLE PROPOSITO"
"PLANCHON","PLANCHON"
"RETROEXCAV","RETROEXCAVADORA"
"FIBRA","FIBRA OPTICA"
"BOTE","BOTE"
"SCOOTER","SCOOTER"
"AUTOMOVIL","AUTOMOVIL"
"TERMINAL","TERMINAL PREMOLDEADO"
"CAMPO_PV","CAMPO FOTOVOLTAICO"
"RECIPIENTE","RECIPIENTE"
"TRANSMISOR","TRANSMISOR"
"SCN","SISTEMA CONTROLADOR DE PRESION"
"TUBPEAD","TUBERIA DE PE DE ALTA DENSIDAD"
"COMSISTR","COMPRESOR SUBSISTEMA DE TRANSMISIÓN"
"POSTE","POSTE"
"COMPRESOR","COMPRESOR"
"VAL.ALIV","VALVULA DE ALIVIO"
